близост						- proximity, closeness
взаимносвързан				- interconnected
връзка						- link, connection, relation, relationship
въпреки това 				- nevertheless, though
изключителен				- exceptional, exclusive, extraordinary, phenomenal, superior,
забелязвам					- notice
накратко					- In a nutshell
отричам						- negate 
оправдание					- justification, excuse	
позволявам					- permit, allow
последствия					- consequences
по същество					- In essence
правя заключение			- conclude	
пребивавам					- reside
предпазвам					- protect, prevent
следователно 				- therefore
с течение на времето 		- over time
улеснявам					- facilitate, make it easier
упълномощен					- authorized, commissioned
